Event_ID,User_ID,Session_ID,Event_Timestamp,Event_Name,Page_Name,Element_Name,Device_Type,Service_Line,Acquisition_Channel,Search_Type,Provider_ID,Location_ID,Appointment_Type,Abandonment_Step,Form_Name,Platform
EVT0066829,U30483,S117435,2026-07-01 01:17:05,service_line_view,service_line,page,Mobile,Cardiology,Organic,,,,,,,web
EVT0035008,U18641,S118395,2026-07-01 01:17:43,provider_profile_view,provider_profile,page,Mobile,Pediatrics,Organic,,P100,,,,,web
EVT0004967,U28014,S132084,2026-07-01 01:18:32,location_selected,scheduling,location_selector,Desktop,Orthopedics,Email,,,Dallas,,,,web
EVT0021108,U12204,S120297,2026-07-01 01:20:02,service_line_view,service_line,page,Mobile,Women's Health,Organic,,,,,,,web
EVT0024858,U21827,S110472,2026-07-01 01:23:45,find_care_click,home,find_care_cta,Mobile,Dermatology,Referral,,,,,,,web
EVT0025420,U32249,S117442,2026-07-01 01:23:51,homepage_view,home,page,Mobile,Pediatrics,Organic,,,,,,,web
EVT0060167,U15138,S139105,2026-07-01 01:24:06,donate_click,foundation,donate_cta,Mobile,Neurology,Email,,,,,,,web
EVT0068335,U20410,S131303,2026-07-01 01:25:26,appointment_type_selected,scheduling,appointment_type,Desktop,Orthopedics,Email,,,,Follow-up,,,web
EVT0058581,U19069,S112174,2026-07-01 01:28:50,time_selected,scheduling,time_selector,Mobile,Cardiology,Referral,,,,,,,web
EVT0054359,U19712,S136582,2026-07-01 01:28:55,schedule_click,provider_profile,schedule_cta,Tablet,Orthopedics,Organic,,,,,,,web
EVT0055342,U13359,S129885,2026-07-01 01:33:29,time_selected,scheduling,time_selector,Mobile,Orthopedics,Organic,,,,,,,web
EVT0034579,U28156,S105022,2026-07-01 01:37:00,findCareClick,home,find_care_cta,Mobile,Women's Health,Paid Search,,,,,,,web
EVT0070548,U25880,S125112,2026-07-01 01:37:45,time_selected,scheduling,time_selector,Desktop,Women's Health,Direct,,,,,,,web
EVT0043537,U12961,S137541,2026-07-01 01:37:50,faq_expand,various,faq,Mobile,Dermatology,Organic,,,,,,,web
EVT0001492,U25887,S145678,2026-07-01 01:39:56,provider_search,find_care,provider_search,Mobile,Cardiology,Organic,condition,,,,,,web
EVT0022026,U16780,S142216,2026-07-01 01:40:49,mychart_click,home,mychart_link,Desktop,Primary Care,Organic,,,,,,,web
EVT0013259,U27154,S129642,2026-07-01 01:41:29,medical_records_click,patient_resources,medical_records_link,Mobile,Women's Health,Organic,,,,,,,web
EVT0035984,U25537,S102933,2026-07-01 01:42:04,medical_records_click,patient_resources,,Desktop,Cardiology,Organic,,,,,,,web
EVT0025856,U24919,S141437,2026-07-01 01:45:18,location_search,locations,location_search,Mobile,Orthopedics,Organic,,,,,,,web
EVT0044776,U29892,S102967,2026-07-01 01:46:05,insurance_step_view,scheduling,insurance_step,Desktop,Cardiology,Referral,,,,,,,web
EVT0028982,U30708,S100161,2026-07-01 01:47:56,schedule_abandoned,scheduling,workflow_exit,Mobile,Women's Health,Direct,,,,,appointment_type,,web
EVT0069432,U28791,S115732,2026-07-01 01:49:11,campaign_landing_view,campaign,page,Mobile,Women's Health,Organic,,,,,,,web
EVT0003933,U27371,S102336,2026-07-01 01:49:39,appointment_type_selected,scheduling,appointment_type,Tablet,Neurology,Organic,,,,Virtual,,,web
EVT0024952,U17162,S123476,2026-07-01 01:52:13,appointment_type_selected,scheduling,appointment_type,Mobile,Cardiology,Paid Search,,,,Follow-up,,,web
EVT0052659,U18952,S113393,2026-07-01 01:53:25,provider_call_click,provider_profile,phone_link,Desktop,Women's Health,Email,,,,,,,web
DUP000369,U18952,S113393,2026-07-01 01:53:26,provider_call_click,provider_profile,phone_link,Desktop,Women's Health,Email,,,,,,,web
EVT0049543,U24581,S137861,2026-07-01 01:53:41,find_care_click,home,find_care_cta,Mobile,Neurology,Email,,,,,,,web
EVT0029150,U28385,S122896,2026-07-01 01:53:54,provider_search,find_care,provider_search,Mobile,Cardiology,Direct,specialty,,,,,,web
EVT0051242,U15442,S144854,2026-07-01 01:53:59,campaign_landing_view,campaign,page,Mobile,Cardiology,Organic,,,,,,,web
EVT0004074,U32155,S141429,2026-07-01 01:54:09,insurance_check_click,insurance,insurance_checker,Mobile,Primary Care,Referral,,,,,,,web
EVT0052160,U31308,S135918,2026-07-01 01:56:29,appointment_completed,scheduling,,Mobile,Orthopedics,Paid Search,,,,,,,web
EVT0062612,U27473,S118431,2026-07-01 01:59:27,location_selected,scheduling,location_selector,Mobile,Neurology,Organic,,,Austin,,,,web
EVT0003016,U24839,S108068,2026-07-01 02:00:16,directions_click,location,directions_link,Mobile,Cardiology,Organic,,,Dallas,,,,web
EVT0050965,U19733,S107528,2026-07-01 02:03:55,service_line_view,service_line,page,Desktop,Neurology,Organic,,,,,,,web
EVT0028467,U30863,S105811,2026-07-01 02:04:18,provider_search,find_care,provider_search,Mobile,Primary Care,Direct,name,,,,,,web
EVT0053364,U16331,S123889,2026-07-01 02:04:45,service_line_view,service_line,page,Desktop,Pediatrics,Direct,,,,,,,web
EVT0048913,U20764,S124360,2026-07-01 02:08:00,provider_search,find_care,provider_search,Desktop,Primary Care,Organic,condition,,,,,,web
EVT0023906,U18754,S149479,2026-07-01 02:08:44,schedule_click,provider_profile,schedule_cta,Mobile,Primary Care,Organic,,,,,,,web
EVT0057421,U21389,S104193,2026-07-01 02:09:53,directions_click,location,directions_link,Mobile,Pediatrics,Direct,,,Plano,,,,web
EVT0016096,U23629,S128377,2026-07-01 02:10:50,scheduling_started,scheduling,workflow_start,Mobile,Orthopedics,Paid Social,,,,,,,web
EVT0049717,U23701,S101261,2026-07-01 02:11:43,homepage_view,home,page,Mobile,Primary Care,Referral,,,,,,,web
EVT0027104,U15601,S150524,2026-07-01 02:14:39,schedule_click,provider_profile,schedule_cta,Desktop,Pediatrics,Organic,,,,,,,web
EVT0040270,,S157178,2026-07-01 02:15:56,scheduling_started,scheduling,workflow_start,Desktop,Cardiology,Email,,,,,,,web
EVT0004158,U30279,S119351,2026-07-01 02:16:43,time_selected,scheduling,time_selector,Mobile,Women's Health,Paid Search,,,,,,,web
EVT0035596,U24091,S132030,2026-07-01 02:18:10,location_selected,scheduling,location_selector,Mobile,Cardiology,Paid Search,,,Dallas,,,,web
EVT0003743,U27704,S100282,2026-07-01 02:18:27,insurance_step_view,scheduling,insurance_step,Mobile,,Email,,,,,,,web
EVT0046309,U29468,S156520,2026-07-01 02:21:38,schedule_click,provider_profile,schedule_cta,Mobile,Primary Care,Organic,,,,,,,web
EVT0036519,U20375,S144771,2026-07-01 02:21:53,schedule_click,provider_profile,schedule_cta,Mobile,Women's Health,Direct,,,,,,,web
EVT0071961,U13909,S117262,2026-07-01 02:22:04,provider_profile_view,provider_profile,page,Desktop,Primary Care,Paid Search,,P274,,,,,web
EVT0004327,U18201,S111013,2026-07-01 02:23:51,provider_filter_click,find_care,provider_filter,Desktop,Primary Care,Referral,,,,,,,web
EVT0018392,U13824,S127731,2026-07-01 02:25:12,service_line_view,service_line,page,Mobile,Neurology,Organic,,,,,,,web
EVT0027620,U19744,S122729,2026-07-01 02:28:27,directions_click,location,directions_link,Desktop,Primary Care,Email,,,Dallas,,,,web
EVT0043343,U27017,S115909,2026-07-01 02:28:59,homepage_view,home,page,Mobile,Pediatrics,Direct,,,,,,,web
EVT0060570,U10475,S101637,2026-07-01 02:30:02,urgent_care_checkin_click,urgent_care,checkin_cta,Mobile,Neurology,Organic,,,Waco,,,,web
EVT0001767,U21613,S152354,2026-07-01 02:30:39,provider_filter_click,find_care,provider_filter,Mobile,Dermatology,Paid Search,,,,,,,web
EVT0004557,U19450,S138057,2026-07-01 02:33:47,find_care_click,home,find_care_cta,Mobile,Orthopedics,Paid Social,,,,,,,web
EVT0029109,U23517,S117840,2026-07-01 02:36:01,provider_call_click,provider_profile,phone_link,Mobile,Primary Care,Direct,,,,,,,web
EVT0056714,U19909,S157114,2026-07-01 02:36:05,campaign_landing_view,campaign,page,Desktop,Dermatology,Paid Search,,,,,,,web
EVT0031859,U20515,S154230,2026-07-01 02:37:07,homepage_view,home,page,Mobile,Orthopedics,Organic,,,,,,,web
EVT0033470,U16532,S102895,2026-07-01 02:38:37,date_selected,scheduling,date_selector,Desktop,Neurology,Organic,,,,,,,web
EVT0026257,U17993,S105300,2026-07-01 02:39:13,homepage_view,home,page,Mobile,Women's Health,Organic,,,,,,,web
EVT0001885,U24480,S148705,2026-07-01 02:43:54,homepage_view,home,page,Mobile,Neurology,Organic,,,,,,,web
EVT0033619,U11623,S116410,2026-07-01 02:44:02,provider_profile_view,provider_profile,page,Mobile,Women's Health,Organic,,P435,,,,,web
EVT0045027,U18199,S110739,2026-07-01 02:45:12,location_selected,scheduling,location_selector,Mobile,Dermatology,Organic,,,Plano,,,,web
EVT0054465,U30199,S114553,2026-07-01 02:45:37,cta_click,various,cta,Mobile,Cardiology,Direct,,,,,,,web
EVT0011460,U17489,S105378,2026-07-01 02:48:21,provider_search,find_care,provider_search,Mobile,cardiology,Email,name,,,,,,web
EVT0062078,U30657,S119429,2026-07-01 02:48:43,location_search,locations,location_search,Mobile,Dermatology,Paid Social,,,,,,,web
EVT0010889,U16434,S152844,2026-07-01 02:52:44,scheduling_started,scheduling,workflow_start,Desktop,Cardiology,Direct,,,,,,,web
EVT0055988,U29522,S134952,2026-07-01 02:55:55,find_care_click,home,find_care_cta,Mobile,Pediatrics,Email,,,,,,,web
EVT0049178,U10566,S117616,2026-07-01 02:56:43,Find_A_Doctor_Click,,find_care_cta,Mobile,Cardiology,Paid Social,,,,,,,web
EVT0028240,U22770,S150559,2026-07-01 02:58:24,service_line_view,service_line,page,Mobile,Dermatology,Organic,,,,,,,web
EVT0003715,U26556,S132344,2026-07-01 03:05:59,scheduling_started,scheduling,workflow_start,Mobile,Primary Care,Paid Search,,,,,,,web
EVT0016443,U22691,S144385,2026-07-01 03:06:41,location_selected,scheduling,location_selector,Mobile,,Organic,,,Austin,,,,web
EVT0046565,U12101,S103576,2026-07-01 03:08:02,location_search,locations,location_search,Mobile,Pediatrics,Organic,,,,,,,web
EVT0019138,U18877,S110945,2026-07-01 03:10:58,schedule_click,provider_profile,,Desktop,Dermatology,Direct,,,,,,,web
EVT0005045,U20665,S134063,2026-07-01 03:11:46,homepage_view,home,page,Mobile,Primary Care,Direct,,,,,,,web
EVT0067155,U11510,S108607,2026-07-01 03:12:07,cta_click,various,cta,Desktop,Cardiology,Direct,,,,,,,web
EVT0018027,U30007,S100572,2026-07-01 03:13:18,service_line_view,service_line,page,Desktop,Dermatology,Direct,,,,,,,web
EVT0008529,U23011,S109791,2026-07-01 03:14:12,mychart_click,home,mychart_link,Mobile,Primary Care,Paid Search,,,,,,,web
EVT0034090,U13307,S134561,2026-07-01 03:14:18,provider_call_click,provider_profile,phone_link,Desktop,Cardiology,Organic,,,,,,,web
EVT0005224,U24667,S144359,2026-07-01 03:16:23,appointment_type_selected,scheduling,appointment_type,Desktop,Orthopedics,Organic,,,,New Patient,,,web
EVT0057533,U26016,S112422,2026-07-01 03:16:50,location_search,locations,location_search,Desktop,Neurology,Referral,,,,,,,web
EVT0045349,U20308,S149227,2026-07-01 03:18:29,date_selected,,date_selector,Mobile,Women's Health,Direct,,,,,,,web
EVT0034591,U11384,S150463,2026-07-01 03:19:33,homepage_view,home,page,Mobile,Primary Care,Organic,,,,,,,web
EVT0019879,U12859,S137764,2026-07-01 03:22:15,find_care_click,home,find_care_cta,Desktop,Primary Care,Referral,,,,,,,web
EVT0021123,U32006,S155042,2026-07-01 03:26:05,service_line_view,service_line,page,Desktop,Orthopedics,Direct,,,,,,,web
EVT0002105,U24377,S145162,2026-07-01 03:27:08,provider_profile_view,provider_profile,page,Desktop,Neurology,Email,,P494,,,,,web
EVT0054234,U31004,S125725,2026-07-01 03:27:51,provider_filter_click,find_care,provider_filter,Mobile,Dermatology,Organic,,,,,,,web
EVT0053120,U24355,S100736,2026-07-01 03:32:03,directions_click,location,directions_link,Mobile,Orthopedics,Paid Search,,,Waco,,,,web
EVT0017219,U26932,S153772,2026-07-01 03:32:09,find_care_click,home,find_care_cta,Mobile,Women's Health,Direct,,,,,,,web
EVT0020342,U26228,S132404,2026-07-01 03:34:29,find_care_click,home,find_care_cta,Mobile,Cardiology,Organic,,,,,,,web
EVT0003434,U25712,S147694,2026-07-01 03:36:18,provider_profile_view,provider_profile,page,Mobile,Cardiology,Direct,,P302,,,,,web
EVT0062703,U14925,S106163,2026-07-01 03:36:26,provider_call_click,provider_profile,phone_link,Mobile,Cardiology,Organic,,,,,,,web
EVT0028677,U22174,S108058,2026-07-01 03:38:19,symptom_checker_start,scheduling,insurance_step,Mobile,Primary Care,Organic,,,,,,,web
EVT0025349,U14031,S107080,2026-07-01 03:38:21,schedule_abandoned,scheduling,workflow_exit,Desktop,Pediatrics,Direct,,,,,appointment_type,,web
EVT0050943,U23481,S130727,2026-07-01 03:40:23,find_care_click,home,find_care_cta,Mobile,Dermatology,Email,,,,,,,web
EVT0029034,U12904,S119340,2026-07-01 03:41:47,urgent_care_checkin_click,urgent_care,checkin_cta,Mobile,Neurology,Direct,,,Waco,,,,web
EVT0000548,U24400,S100258,2026-07-01 03:43:30,time_selected,scheduling,time_selector,Desktop,Neurology,Organic,,,,,,,web
EVT0014877,U19606,S118897,2026-07-01 03:43:54,provider_profile_view,provider_profile,page,Desktop,Women's Health,Referral,,P495,,,,,web
EVT0044313,U15677,S110252,2026-07-01 03:45:33,virtual_care_click,virtual_care,virtual_care_cta,Desktop,Orthopedics,Direct,,,,,,,web
EVT0029693,U19783,S132127,2026-07-01 03:46:40,find_care_click,home,find_care_cta,Desktop,Primary Care,Email,,,,,,,web
EVT0047663,U18166,S130844,2026-07-01 03:47:10,provider_search,find_care,provider_search,Tablet,Women's Health,Organic,name,,,,,,web
EVT0009025,U29499,S116098,2026-07-01 03:47:21,directions_click,location,directions_link,Desktop,Cardiology,Paid Search,,,Austin,,,,web
EVT0062159,U24273,S148443,2026-07-01 03:48:38,faq_expand,various,faq,Mobile,Primary Care,Paid Social,,,,,,,web
EVT0041566,U29435,S103106,2026-07-01 03:50:03,urgent_care_checkin_click,urgent_care,checkin_cta,Mobile,Neurology,Paid Search,,,Austin,,,,web
EVT0021732,U23320,S145673,2026-07-01 03:54:03,faq_expand,various,faq,Mobile,Dermatology,Direct,,,,,,,web
EVT0053525,U27889,S109417,2026-07-01 03:55:02,directions_click,location,directions_link,Mobile,,Direct,,,Waco,,,,web
EVT0055066,U16728,S113296,2026-07-01 03:55:46,appointment_completed,scheduling,confirmation,Mobile,Primary Care,Paid Search,,,,,,,web
EVT0026228,U28545,S134443,2026-07-01 03:56:20,scheduling_started,scheduling,workflow_start,Desktop,Neurology,Referral,,,,,,,web
EVT0066914,U23319,S104344,2026-07-01 03:56:27,provider_profile_view,provider_profile,page,Mobile,Primary Care,Paid Search,,P232,,,,,web
EVT0030055,U14302,S150874,2026-07-01 03:57:04,cta_click,various,cta,Mobile,Neurology,Organic,,,,,,,web
EVT0070708,U31137,S130320,2026-07-01 03:57:35,appointment_type_selected,scheduling,,Mobile,Dermatology,Email,,,,Virtual,,,web
EVT0052476,U14170,S137101,2026-07-01 03:58:00,campaign_landing_view,campaign,page,Mobile,Dermatology,Paid Search,,,,,,,web
EVT0001755,U13126,S104328,2026-07-01 03:58:58,location_selected,scheduling,location_selector,Mobile,Women's Health,Email,,,Fort Worth,,,,web
EVT0011637,U16633,S140137,2026-07-01 03:59:00,cta_click,various,cta,Mobile,Orthopedics,Organic,,,,,,,web
EVT0023108,U16506,S110948,2026-07-01 03:59:32,directions_click,location,directions_link,Desktop,Women's Health,Organic,,,Waco,,,,web
EVT0035891,U26624,S127940,2026-07-01 04:00:13,homepage_view,home,page,Desktop,Primary Care,Direct,,,,,,,web
EVT0052776,U18445,S117114,2026-07-01 04:00:35,provider_profile_view,,page,Desktop,Women's Health,Direct,,P227,,,,,web
EVT0012173,U11585,S142703,2026-07-01 04:07:29,homepage_view,home,page,Desktop,Dermatology,Direct,,,,,,,web
EVT0048660,U26564,S152386,2026-07-01 04:07:42,form_start,forms,form,Mobile,Dermatology,Paid Search,,,,,,contact_us,web
EVT0017325,U16394,S149124,2026-07-01 04:08:50,insurance_check_click,insurance,insurance_checker,Desktop,Primary Care,Paid Search,,,,,,,web
EVT0061792,U31784,S120566,2026-07-01 04:09:04,appointment_type_selected,scheduling,appointment_type,Mobile,Pediatrics,Direct,,,,New Patient,,,web
EVT0014911,U21579,S151757,2026-07-01 04:10:05,provider_profile_view,provider_profile,page,Mobile,Orthopedics,Organic,,P128,,,,,web
EVT0071715,U32610,S124152,2026-07-01 04:10:18,find_care_click,home,find_care_cta,Mobile,,Paid Social,,,,,,,web
EVT0049918,U30019,S114727,2026-07-01 04:10:21,provider_filter_click,find_care,provider_filter,Mobile,Women's Health,Paid Search,,,,,,,web
EVT0037760,U27188,S120843,2026-07-01 04:10:35,cta_click,various,,Mobile,Women's Health,Direct,,,,,,,web
EVT0062218,U10070,S143378,2026-07-01 04:12:16,schedule_click,provider_profile,schedule_cta,Desktop,Orthopedics,Email,,,,,,,web
EVT0042657,U17672,S102980,2026-07-01 04:12:55,provider_profile_view,provider_profile,page,,Women's Health,Organic,,P446,,,,,web
EVT0022981,U19350,S125409,2026-07-01 04:13:24,location_selected,scheduling,location_selector,Mobile,Pediatrics,Direct,,,Fort Worth,,,,web
EVT0025304,U27870,S136779,2026-07-01 04:15:17,homepage_view,home,page,Desktop,Women's Health,Organic,,,,,,,web
EVT0045052,U13994,S112312,2026-07-01 04:17:20,provider_search,find_care,provider_search,Desktop,Neurology,Organic,name,,,,,,web
EVT0047948,U17979,S119458,2026-07-01 04:18:41,location_selected,scheduling,location_selector,Mobile,Pediatrics,Organic,,,Temple,,,,web
EVT0059712,U28396,S156934,2026-07-01 04:19:08,careers_click,home,,Mobile,Primary Care,Paid Search,,,,,,,web
EVT0011398,U19642,S129902,2026-07-01 04:19:34,date_selected,scheduling,date_selector,Mobile,Primary Care,Email,,,,,,,web
EVT0042587,U30099,S154217,2026-07-01 04:24:16,schedule_click,provider_profile,schedule_cta,Mobile,Orthopedics,Paid Search,,,,,,,web
EVT0066087,U15200,S104675,2026-07-01 04:24:18,provider_profile_view,provider_profile,page,Mobile,Orthopedics,Organic,,P429,,,,,web
EVT0015036,U28033,S120313,2026-07-01 04:29:03,scheduling_started,scheduling,workflow_start,Mobile,Cardiology,Referral,,,,,,,web
EVT0019101,U11297,S123336,2026-07-01 04:29:33,schedule_click,provider_profile,schedule_cta,Mobile,Neurology,Organic,,,,,,,web
EVT0071735,U24497,S101078,2026-07-01 04:31:56,provider_profile_view,provider_profile,page,,Orthopedics,Organic,,P393,,,,,web
EVT0018147,U18234,S153627,2026-07-01 04:32:08,cta_click,various,cta,Mobile,Orthopedics,Paid Search,,,,,,,web
EVT0043517,U14806,S102243,2026-07-01 04:32:18,provider_profile_view,provider_profile,page,Mobile,Women's Health,Direct,,P321,,,,,web
EVT0054639,U25185,S137084,2026-07-01 04:33:01,schedule_click,provider_profile,schedule_cta,Mobile,Neurology,Direct,,,,,,,web
EVT0022062,U25812,S156884,2026-07-01 04:34:11,campaign_landing_view,campaign,page,Mobile,Cardiology,Organic,,,,,,,web
EVT0032831,U17389,S130622,2026-07-01 04:34:28,form_submit,forms,form,Mobile,Primary Care,Paid Search,,,,,,newsletter,web
EVT0011660,U16365,S124285,2026-07-01 04:35:16,time_selected,scheduling,time_selector,Mobile,Pediatrics,Paid Search,,,,,,,web
EVT0012138,U22509,S112139,2026-07-01 04:38:29,service_line_view,service_line,page,Mobile,Primary Care,Paid Search,,,,,,,web
EVT0001872,U18470,S140658,2026-07-01 04:38:55,find_care_click,home,find_care_cta,Tablet,Cardiology,Organic,,,,,,,web
EVT0051035,U31450,S135500,2026-07-01 04:39:07,homepage_view,,page,Mobile,Women's Health,Direct,,,,,,,web
EVT0041907,U10357,S133730,2026-07-01 04:40:31,provider_profile_view,provider_profile,page,Mobile,Women's Health,Direct,,P256,,,,,web
EVT0039560,U10249,S101009,2026-07-01 04:40:54,donate_click,foundation,donate_cta,Mobile,Primary Care,Paid Social,,,,,,,web
EVT0058672,U19447,S105305,2026-07-01 04:41:10,appointment_completed,scheduling,confirmation,Mobile,Orthopedics,Organic,,,,,,,web
EVT0037853,U17730,S112017,2026-07-01 04:42:41,provider_filter_click,find_care,provider_filter,Mobile,Pediatrics,Paid Search,,,,,,,web
EVT0039518,U15887,S109693,2026-07-01 04:42:41,provider_profile_view,provider_profile,page,Mobile,Neurology,Direct,,P484,,,,,web
EVT0034488,U16496,S114622,2026-07-01 04:43:34,billing_pay_click,billing,pay_bill_cta,Mobile,Orthopedics,Organic,,,,,,,web
EVT0065604,U29421,S137708,2026-07-01 04:44:22,cta_click,various,cta,Mobile,Neurology,Organic,,,,,,,web
EVT0066621,U32547,S126390,2026-07-01 04:45:52,medical_records_click,patient_resources,medical_records_link,Mobile,Pediatrics,Direct,,,,,,,web
EVT0045154,U30661,S149756,2026-07-01 04:46:02,find_care_click,home,find_care_cta,Mobile,Dermatology,Paid Search,,,,,,,web
EVT0046554,U27060,S105403,2026-07-01 04:46:51,provider_search,find_care,provider_search,Desktop,Dermatology,Direct,name,,,,,,web
EVT0006179,U18949,S116982,2026-07-01 04:53:26,provider_call_click,provider_profile,phone_link,Mobile,Orthopedics,Organic,,,,,,,web
EVT0071001,U20260,S156310,2026-07-01 04:53:45,homepage_view,home,page,Mobile,Orthopedics,Organic,,,,,,,web
EVT0040311,U12579,S121125,2026-07-01 04:55:47,homepage_view,home,page,Mobile,Orthopedics,Paid Search,,,,,,,web
